episode_id,state,event_type,event_begin_time,event_end_time,damage_property,event_latitude,event_longitude,Date,Time
60462,Maryland,flood,2012-02-29 18:30:00,2012-02-29 19:30:00,50000.0,39.4363,-79.351,2012-02-29,18:30:00
60499,Oregon,flood,2012-03-16 12:30:00,2012-03-16 18:30:00,0.0,43.0648,-124.148,2012-03-16,12:30:00
60499,Oregon,flood,2012-03-16 07:15:00,2012-03-19 06:45:00,0.0,43.1787,-124.2015,2012-03-16,07:15:00
60503,Indiana,flood,2012-01-17 08:50:00,2012-01-17 10:50:00,500.0,39.1644,-86.5166,2012-01-17,08:50:00
60503,Indiana,flood,2012-01-17 08:41:00,2012-01-17 10:41:00,500.0,38.96,-85.89,2012-01-17,08:41:00
60503,Indiana,flood,2012-01-17 09:00:00,2012-01-17 11:00:00,250.0,38.7749,-87.3067,2012-01-17,09:00:00
60503,Indiana,flood,2012-01-17 09:30:00,2012-01-17 11:30:00,500.0,39.0861,-85.7223,2012-01-17,09:30:00
60510,South dakota,flood,2012-01-01 00:00:00,2012-01-11 07:00:00,0.0,45.24,-98.39,2012-01-01,00:00:00
60584,Ohio,flood,2012-01-17 11:30:00,2012-01-17 12:30:00,1000.0,39.2567,-84.3643,2012-01-17,11:30:00
60584,Ohio,flood,2012-01-17 11:30:00,2012-01-17 12:30:00,1000.0,39.3089,-84.3278,2012-01-17,11:30:00
60584,Ohio,flood,2012-01-17 11:57:00,2012-01-17 12:57:00,1000.0,39.33,-82.98,2012-01-17,11:57:00
60584,Ohio,flood,2012-01-17 12:15:00,2012-01-17 13:30:00,1000.0,39.1153,-84.441,2012-01-17,12:15:00
60584,Ohio,flood,2012-01-17 11:18:00,2012-01-17 12:18:00,1000.0,39.1323,-84.5106,2012-01-17,11:18:00
60584,Ohio,flood,2012-01-17 11:30:00,2012-01-17 12:30:00,1000.0,39.1411,-84.3602,2012-01-17,11:30:00
60584,Ohio,flood,2012-01-17 11:30:00,2012-01-17 12:30:00,1000.0,39.1684,-84.6327,2012-01-17,11:30:00
60590,Indiana,flood,2012-01-17 10:21:00,2012-01-17 11:21:00,2000.0,39.13,-85.3,2012-01-17,10:21:00
60592,Ohio,flood,2012-01-26 22:45:00,2012-01-26 23:45:00,1000.0,39.5287,-84.0809,2012-01-26,22:45:00
60592,Ohio,flood,2012-01-26 23:00:00,2012-01-27 00:00:00,1000.0,39.48,-84.55,2012-01-26,23:00:00
60592,Ohio,flood,2012-01-26 23:00:00,2012-01-27 00:00:00,1000.0,40.05,-84.0733,2012-01-26,23:00:00
60592,Ohio,flood,2012-01-26 21:42:00,2012-01-26 22:42:00,1000.0,39.75,-84.18,2012-01-26,21:42:00
60592,Ohio,flood,2012-01-27 00:00:00,2012-01-27 01:00:00,1000.0,39.83,-84.42,2012-01-27,00:00:00
60592,Ohio,flood,2012-01-27 00:32:00,2012-01-27 01:32:00,1000.0,39.75,-84.38,2012-01-27,00:32:00
60592,Ohio,flood,2012-01-27 01:48:00,2012-01-27 02:48:00,1000.0,39.679,-84.28,2012-01-27,01:48:00
60592,Ohio,flood,2012-01-26 21:42:00,2012-01-26 22:42:00,15000.0,39.5596,-84.4844,2012-01-26,21:42:00
60592,Ohio,flood,2012-01-27 00:00:00,2012-01-27 01:00:00,1000.0,40.3601,-83.8982,2012-01-27,00:00:00
60592,Ohio,flood,2012-01-27 01:00:00,2012-01-27 02:00:00,1000.0,40.1779,-83.95,2012-01-27,01:00:00
60608,Idaho,flood,2012-01-21 06:00:00,2012-01-21 23:00:00,8000.0,42.17,-112.65,2012-01-21,06:00:00
60608,Idaho,flood,2012-01-21 06:00:00,2012-01-21 23:00:00,37500.0,42.93,-114.5186,2012-01-21,06:00:00
60632,Illinois,flood,2012-02-01 00:00:00,2012-02-08 19:00:00,0.0,36.9831,-89.1448,2012-02-01,00:00:00
60632,Illinois,flood,2012-02-01 00:00:00,2012-02-08 17:00:00,0.0,37.1735,-89.073,2012-02-01,00:00:00
60632,Illinois,flood,2012-02-01 00:00:00,2012-02-08 18:00:00,0.0,37.12,-88.63,2012-02-01,00:00:00
60632,Illinois,flood,2012-02-01 00:00:00,2012-02-08 10:00:00,0.0,37.6876,-88.1389,2012-02-01,00:00:00
60632,Illinois,flood,2012-02-01 00:00:00,2012-02-02 11:00:00,0.0,38.0394,-88.2051,2012-02-01,00:00:00
60632,Illinois,flood,2012-02-01 18:00:00,2012-02-04 13:00:00,0.0,37.37,-88.48,2012-02-01,18:00:00
60634,Indiana,flood,2012-02-01 00:00:00,2012-02-04 10:00:00,0.0,37.9377,-87.3832,2012-02-01,00:00:00
60634,Indiana,flood,2012-02-01 00:00:00,2012-02-05 13:00:00,0.0,37.9174,-87.9153,2012-02-01,00:00:00
60635,Kentucky,flood,2012-02-01 00:00:00,2012-02-01 06:00:00,0.0,37.27,-86.98,2012-02-01,00:00:00
60635,Kentucky,flood,2012-02-01 00:00:00,2012-02-06 11:00:00,0.0,37.8041,-87.905,2012-02-01,00:00:00
60636,Kentucky,flood,2012-01-27 00:46:00,2012-01-27 01:46:00,1000.0,38.78,-84.88,2012-01-27,00:46:00
60636,Kentucky,flood,2012-01-27 00:49:00,2012-01-27 01:49:00,1000.0,38.75,-84.35,2012-01-27,00:49:00
60636,Kentucky,flood,2012-01-27 00:55:00,2012-01-27 01:55:00,1000.0,39.0235,-84.694,2012-01-27,00:55:00
60636,Kentucky,flood,2012-01-27 01:02:00,2012-01-27 02:02:00,1000.0,38.97,-84.38,2012-01-27,01:02:00
60684,Puerto rico,flood,2012-03-25 15:20:00,2012-03-25 19:15:00,0.0,18.3447,-65.8422,2012-03-25,15:20:00
60725,Puerto rico,flood,2012-02-13 21:30:00,2012-02-14 02:00:00,0.0,18.397000000000002,-66.3482,2012-02-13,21:30:00
60751,Puerto rico,flood,2012-03-29 05:32:00,2012-03-29 07:15:00,0.0,18.4188,-66.3323,2012-03-29,05:32:00
60751,Puerto rico,flood,2012-03-29 10:00:00,2012-03-29 14:45:00,0.0,18.4112,-65.98,2012-03-29,10:00:00
60751,Puerto rico,flood,2012-03-27 16:30:00,2012-03-27 17:30:00,0.0,18.2232,-66.0725,2012-03-27,16:30:00
60751,Puerto rico,flood,2012-03-27 16:30:00,2012-03-28 00:00:00,5000.0,18.23,-66.39,2012-03-27,16:30:00
60751,Puerto rico,flood,2012-03-28 19:15:00,2012-03-28 20:30:00,0.0,18.4194,-65.9737,2012-03-28,19:15:00
60751,Puerto rico,flood,2012-03-30 12:42:00,2012-03-30 14:15:00,0.0,18.3949,-66.0356,2012-03-30,12:42:00
60797,Kansas,flood,2012-03-20 04:00:00,2012-03-20 06:00:00,0.0,37.13,-95.0,2012-03-20,04:00:00
60797,Kansas,flood,2012-03-20 07:30:00,2012-03-20 08:30:00,0.0,37.084,-94.6387,2012-03-20,07:30:00
60797,Kansas,flood,2012-03-20 07:30:00,2012-03-20 09:30:00,0.0,37.2022,-94.8279,2012-03-20,07:30:00
60801,Missouri,flood,2012-03-19 19:30:00,2012-03-19 20:30:00,0.0,37.1022,-94.5133,2012-03-19,19:30:00
60801,Missouri,flood,2012-03-19 22:07:00,2012-03-19 23:07:00,0.0,36.84,-94.61,2012-03-19,22:07:00
